Date,OP_Price,AVPI,PR,LAR,Votable Supply,Circulating Supply,OP_Price_Scaled,AVPI_Scaled,PR_Scaled,LAR_Scaled,F,IVS,IVS/VS
2025-07-12,4.684941937672635,0.516215,0.076584077585581,0.30249587,144472958.20124644,1886462078.7499995,0.8716369320662127,0.4247976279410341,0.5331091349347776,0.5618888853684754,0.863107,241683292.92,1.67
2025-07-13,4.389102564987539,0.4981056,0.0766326998195756,0.25489688,144564682.20186138,1886462078.7499995,0.7982019769163773,0.4021609370664643,0.5344025667015213,0.4651031274898734,0.853634,238655491.58,1.65
2025-07-14,4.2776508406289535,0.48522356,0.0766828342412319,0.23477153,144659258.88715613,1886462078.7499995,0.770536787170466,0.3860584291250722,0.535736225158777,0.4241810984232457,0.847984,236938255.1,1.64
2025-07-15,4.457231158264148,0.49076274,0.0767335195312508,0.3397109,144754874.7647271,1886462078.7499995,0.8151132492270259,0.3929823860401881,0.5370845376247226,0.6375603414860296,0.885026,249733591.36,1.73
2025-07-16,4.486073372128766,0.4919301,0.0767839671917799,0.45231074,144850042.36327696,1886462078.7499995,0.8222726298812864,0.3944415822288712,0.5384265287535852,0.866516057802895,0.931571,267011861.71,1.84
2025-07-17,4.30204888477194,0.4793225,0.0768335507450738,0.4482447,144943579.8562955,1886462078.7499995,0.7765930103875531,0.3786821233914593,0.5397455332021561,0.8582483453374685,0.93691,269240414.53,1.86
2025-07-18,4.165467989276387,0.46535113,0.0768817787301423,0.4103108,145034560.1212618,1886462078.7499995,0.7426901128658074,0.3612179565066238,0.5410284772960163,0.7811151695959013,0.925018,264853197.81,1.83
2025-07-19,4.271762119752142,0.4652738,0.0769282785007403,0.37039036,145122280.17516547,1886462078.7499995,0.7690750549150409,0.3611212942590988,0.5422654480292901,0.6999426480729184,0.90212,256500952.2,1.77
2025-07-20,4.167435026896307,0.45558506,0.0769727908246971,0.38625562,145206250.98634714,1886462078.7499995,0.7431783822874392,0.3490104008918927,0.5434495493978884,0.7322023916733829,0.91238,260423104.17,1.79
2025-07-21,4.200804866694253,0.45227146,0.0770151104765445,0.349668,145286085.40474308,1886462078.7499995,0.7514616363610198,0.3448684117104745,0.5445753220652452,0.6578066843133255,0.894161,253908347.16,1.75
2025-07-22,4.216276889649907,0.44946322,0.077055129442878,0.32583508,145361579.6671619,1886462078.7499995,0.7553021911239421,0.3413581208791051,0.5456398926963217,0.6093458404034003,0.882476,249879649.44,1.72
2025-07-23,4.113291671519103,0.43963894,0.0770927991176655,0.2936078,145432642.0801675,1886462078.7499995,0.7297386063789808,0.3290778029544239,0.546641968290349,0.5438162625874443,0.871903,246308791.01,1.69
2025-07-24,4.463752628964183,0.45602283,0.0771280762955454,0.24859627,145499191.1384833,1886462078.7499995,0.8167320462925465,0.3495576119626162,0.5475803995133153,0.4522917356106025,0.838356,235146212.64,1.62
2025-07-25,4.587525524940472,0.46658915,0.0771610095825497,0.23702444,145561318.53554538,1886462078.7499995,0.8474556683117798,0.3627654774646089,0.548456479365989,0.4287620696115479,0.829204,232283852.35,1.6
2025-07-26,4.227007082395547,0.44723895,0.0771916259820294,0.36609957,145619075.21215165,1886462078.7499995,0.7579657014467005,0.3385777906411303,0.5492709261821256,0.6912179385350075,0.898047,255895639.48,1.76
2025-07-27,4.203861387223226,0.43962875,0.0772200227060484,0.44727343,145672644.55517435,1886462078.7499995,0.7522203435132238,0.3290650654876933,0.5500263259632563,0.8562734063092508,0.932579,268916873.76,1.85
2025-07-28,4.083506402462316,0.4275967,0.0772462699633198,0.4433908,145722159.01068792,1886462078.7499995,0.7223451351264605,0.3140250422711665,0.550724546377162,0.8483786319219749,0.935022,269953429.38,1.85
2025-07-29,4.214802496576607,0.42995948,0.0768727326075231,0.40259373,145017494.9539809,1886462078.7499995,0.7549362087726808,0.3169785095569196,0.5407878354866984,0.7654236083137771,0.913421,260470808.91,1.8
2025-07-30,4.099998361483944,0.42089468,0.0768674075466857,0.3702278,145007449.42864418,1886462078.7499995,0.7264388643014994,0.3056475391526102,0.5406461800693907,0.6996121054962641,0.903909,256950184.21,1.77
