Date,Circulating Supply
09/11/2023,880917403
10/11/2023,880917403
11/11/2023,880917403
12/11/2023,880917403
13/11/2023,880917403
14/11/2023,880917403
15/11/2023,880917403
16/11/2023,880917403
17/11/2023,880917403
18/11/2023,880917403
19/11/2023,880917403
20/11/2023,880917403
21/11/2023,880917403
22/11/2023,880917403
23/11/2023,880917403
24/11/2023,880917403
25/11/2023,880917403
26/11/2023,880917403
27/11/2023,880917403
28/11/2023,880917403
29/11/2023,880917403
30/11/2023,880917403
01/12/2023,911294948
02/12/2023,911294948
03/12/2023,911294948
04/12/2023,911294948
05/12/2023,911294948
06/12/2023,911294948
07/12/2023,911294948
08/12/2023,911294948
09/12/2023,911294948
10/12/2023,911294948
11/12/2023,911294948
12/12/2023,911294948
13/12/2023,911294948
14/12/2023,911294948
15/12/2023,911294948
16/12/2023,911294948
17/12/2023,911294948
18/12/2023,911294948
19/12/2023,911294948
20/12/2023,911294948
21/12/2023,911294948
22/12/2023,911294948
23/12/2023,911294948
24/12/2023,911294948
25/12/2023,911294948
26/12/2023,911294948
27/12/2023,911294948
28/12/2023,911294948
29/12/2023,911294948
30/12/2023,911294948
31/12/2023,911294948
01/01/2024,911294948
02/01/2024,911294948
03/01/2024,911294948
04/01/2024,911294948
05/01/2024,911294948
06/01/2024,911294948
07/01/2024,911294948
08/01/2024,911294948
09/01/2024,957378568
10/01/2024,957378568
11/01/2024,957378568
12/01/2024,957378568
13/01/2024,957378568
14/01/2024,957378568
15/01/2024,957378568
16/01/2024,957378568
17/01/2024,957378568
18/01/2024,957378568
19/01/2024,957378568
20/01/2024,957378568
21/01/2024,957378568
22/01/2024,957378568
23/01/2024,957378568
24/01/2024,957378568
25/01/2024,957378568
26/01/2024,957378568
27/01/2024,957378568
28/01/2024,957378568
29/01/2024,957378568
30/01/2024,957378568
31/01/2024,957378568
01/02/2024,957378568
02/02/2024,957378568
03/02/2024,957378568
04/02/2024,957378568
05/02/2024,957378568
06/02/2024,957378568
07/02/2024,957378568
08/02/2024,957378568
09/02/2024,957378568
10/02/2024,957378568
11/02/2024,957378568
12/02/2024,957378568
13/02/2024,957378568
14/02/2024,957378568
15/02/2024,957378568
16/02/2024,957378568
17/02/2024,957378568
18/02/2024,957378568
19/02/2024,957378568
20/02/2024,957378568
21/02/2024,957378568
22/02/2024,957378568
23/02/2024,957378568
24/02/2024,957378568
25/02/2024,957378568
26/02/2024,957378568
27/02/2024,957378568
28/02/2024,957378568
29/02/2024,957378568
01/03/2024,1006141600
02/03/2024,1006141600
03/03/2024,1006141600
04/03/2024,1006141600
05/03/2024,1006141600
06/03/2024,1006141600
07/03/2024,1006141600
08/03/2024,1006141600
09/03/2024,1006141600
10/03/2024,1006141600
11/03/2024,1006141600
12/03/2024,1006141600
13/03/2024,1006141600
14/03/2024,1006141600
15/03/2024,1006141600
16/03/2024,1006141600
17/03/2024,1006141600
18/03/2024,1006141600
19/03/2024,1006141600
20/03/2024,1006141600
21/03/2024,1006141600
22/03/2024,1006141600
23/03/2024,1006141600
24/03/2024,1006141600
25/03/2024,1006141600
26/03/2024,1006141600
27/03/2024,1006141600
28/03/2024,1006141600
29/03/2024,1006141600
30/03/2024,1006141600
31/03/2024,1006141600
01/04/2024,1006141600
02/04/2024,1006141600
03/04/2024,1006141600
04/04/2024,1006141600
05/04/2024,1006141600
06/04/2024,1006141600
07/04/2024,1006141600
08/04/2024,1006141600
09/04/2024,1006141600
10/04/2024,1006141600
11/04/2024,1006141600
12/04/2024,1006141600
13/04/2024,1006141600
14/04/2024,1006141600
15/04/2024,1006141600
16/04/2024,1045379867
17/04/2024,1045379867
18/04/2024,1045379867
19/04/2024,1045379867
20/04/2024,1045379867
21/04/2024,1045379867
22/04/2024,1045379867
23/04/2024,1045379867
24/04/2024,1045379867
25/04/2024,1045379867
26/04/2024,1045379867
27/04/2024,1045379867
28/04/2024,1045379867
29/04/2024,1045379867
30/04/2024,1045379867
01/05/2024,1045379867
02/05/2024,1045379867
03/05/2024,1045379867
04/05/2024,1045379867
05/05/2024,1045379867
06/05/2024,1045379867
07/05/2024,1045379867
08/05/2024,1045379867
09/05/2024,1045379867
10/05/2024,1045379867
11/05/2024,1045379867
12/05/2024,1045379867
13/05/2024,1045379867
14/05/2024,1045379867
15/05/2024,1045379867
16/05/2024,1045379867
17/05/2024,1045379867
18/05/2024,1086889963
19/05/2024,1086889963
20/05/2024,1086889963
21/05/2024,1086889963
22/05/2024,1086889963
23/05/2024,1086889963
24/05/2024,1086889963
25/05/2024,1086889963
26/05/2024,1086889963
27/05/2024,1086889963
28/05/2024,1086889963
29/05/2024,1086889963
30/05/2024,1086889963
31/05/2024,1086889963
01/06/2024,1086889963
02/06/2024,1086889963
03/06/2024,1086889963
04/06/2024,1086889963
05/06/2024,1086889963
06/06/2024,1086889963
07/06/2024,1086889963
08/06/2024,1086889963
09/06/2024,1086889963
10/06/2024,1086889963
11/06/2024,1086889963
12/06/2024,1086889963
13/06/2024,1086889963
14/06/2024,1086889963
15/06/2024,1086889963
16/06/2024,1086889963
17/06/2024,1086889963
18/06/2024,1086889963
19/06/2024,1086889963
20/06/2024,1121728540
21/06/2024,1121728540
22/06/2024,1121728540
23/06/2024,1121728540
24/06/2024,1121728540
25/06/2024,1121728540
26/06/2024,1121728540
27/06/2024,1121728540
28/06/2024,1121728540
29/06/2024,1121728540
30/06/2024,1121728540
01/07/2024,1121728540
02/07/2024,1121728540
03/07/2024,1121728540
04/07/2024,1121728540
05/07/2024,1121728540
06/07/2024,1121728540
07/07/2024,1121728540
08/07/2024,1121728540
09/07/2024,1121728540
10/07/2024,1121728540
11/07/2024,1121728540
12/07/2024,1121728540
13/07/2024,1121728540
14/07/2024,1121728540
15/07/2024,1121728540
16/07/2024,1121728540
17/07/2024,1121728540
18/07/2024,1121728540
19/07/2024,1121728540
20/07/2024,1121728540
21/07/2024,1121728540
22/07/2024,1121728540
23/07/2024,1121728540
24/07/2024,1121728540
25/07/2024,1121728540
26/07/2024,1121728540
27/07/2024,1121728540
28/07/2024,1121728540
29/07/2024,1121728540
30/07/2024,1121728540
31/07/2024,1121728540
01/08/2024,1187596466
02/08/2024,1187596466
03/08/2024,1187596466
04/08/2024,1187596466
05/08/2024,1187596466
06/08/2024,1187596466
07/08/2024,1187596466
08/08/2024,1187596466
09/08/2024,1187596466
10/08/2024,1187596466
11/08/2024,1187596466
12/08/2024,1187596466
13/08/2024,1187596466
14/08/2024,1187596466
15/08/2024,1187596466
16/08/2024,1187596466
17/08/2024,1187596466
18/08/2024,1187596466
19/08/2024,1187596466
20/08/2024,1187596466
21/08/2024,1187596466
22/08/2024,1187596466
23/08/2024,1187596466
24/08/2024,1187596466
25/08/2024,1187596466
26/08/2024,1187596466
27/08/2024,1187596466
28/08/2024,1187596466
29/08/2024,1187596466
30/08/2024,1187596466
31/08/2024,1187596466
01/09/2024,1187596466
02/09/2024,1187596466
03/09/2024,1187596466
04/09/2024,1187596466
05/09/2024,1187596466
06/09/2024,1187596466
07/09/2024,1187596466
08/09/2024,1187596466
09/09/2024,1187596466
10/09/2024,1187596466
11/09/2024,1187596466
12/09/2024,1187596466
13/09/2024,1187596466
14/09/2024,1187596466
15/09/2024,1187596466
16/09/2024,1187596466
17/09/2024,1187596466
18/09/2024,1187596466
19/09/2024,1187596466
20/09/2024,1187596466
21/09/2024,1187596466
22/09/2024,1187596466
23/09/2024,1187596466
24/09/2024,1187596466
25/09/2024,1187596466
26/09/2024,1187596466
27/09/2024,1187596466
28/09/2024,1255070491
29/09/2024,1255070491
30/09/2024,1255070491
01/10/2024,1255070491
02/10/2024,1255070491
03/10/2024,1255070491
04/10/2024,1255070491
05/10/2024,1255070491
06/10/2024,1255070491
07/10/2024,1255070491
08/10/2024,1255070491
09/10/2024,1255070491
10/10/2024,1255070491
11/10/2024,1255070491
12/10/2024,1255070491
13/10/2024,1255070491
14/10/2024,1255070491
15/10/2024,1255070491
16/10/2024,1255070491
17/10/2024,1255070491
18/10/2024,1255070491
19/10/2024,1255070491
20/10/2024,1255070491
21/10/2024,1255070491
22/10/2024,1255070491
23/10/2024,1255070491
24/10/2024,1255070491
25/10/2024,1255070491
26/10/2024,1255070491
27/10/2024,1255070491
28/10/2024,1255070491
29/10/2024,1255070491
30/10/2024,1255070491
31/10/2024,1255070491
01/11/2024,1255070491
02/11/2024,1255070491
03/11/2024,1255070491
04/11/2024,1255070491
05/11/2024,1255070491
06/11/2024,1255070491
07/11/2024,1255070491
08/11/2024,1255070491
09/11/2024,1255070491
10/11/2024,1255070491
11/11/2024,1255070491
12/11/2024,1255070491
13/11/2024,1255070491
14/11/2024,1255070491
15/11/2024,1255070491
16/11/2024,1255070491
17/11/2024,1255070491
18/11/2024,1255070491
19/11/2024,1255070491
20/11/2024,1255070491
21/11/2024,1255070491
22/11/2024,1255070491
23/11/2024,1255070491
24/11/2024,1255070491
25/11/2024,1255070491
26/11/2024,1255070491
27/11/2024,1255070491
28/11/2024,1255070491
29/11/2024,1255070491
30/11/2024,1255070491
