Date,Votable Supply
2023-07-19,47641032.14
2023-07-20,47379340.38
2023-07-21,47357546.89
2023-07-22,47418408.36
2023-07-23,47348623.44
2023-07-24,47321411.32
2023-07-25,47774195.0
2023-07-26,47850741.76
2023-07-27,48221377.07
2023-07-28,48775625.92
2023-07-29,48493907.21
2023-07-30,48528020.07
2023-07-31,48521609.26
2023-08-01,48670131.21
2023-08-02,48677351.32
2023-08-03,48522815.3
2023-08-04,48508306.6
2023-08-05,48473897.57
2023-08-06,48536829.36
2023-08-07,48472630.15
2023-08-08,48191057.21
2023-08-09,48170624.96
2023-08-10,48116772.53
2023-08-11,48078324.31
2023-08-12,48100264.37
2023-08-13,48044481.7
2023-08-14,48137604.29
2023-08-15,48136767.23
2023-08-16,48036954.58
2023-08-17,49380747.53
2023-08-18,49662382.31
2023-08-19,49759925.2
2023-08-20,49727381.7
2023-08-21,49732607.89
2023-08-22,49653198.96
2023-08-23,49511066.43
2023-08-24,49419570.3
2023-08-25,49542934.27
2023-08-26,49452754.27
2023-08-27,49110058.34
2023-08-28,48923652.31
2023-08-29,49206550.91
2023-08-30,49210238.62
2023-08-31,49344832.21
2023-09-01,49406645.9
2023-09-02,49420792.14
2023-09-03,49398855.38
2023-09-04,49400563.1
2023-09-05,49398147.25
2023-09-06,49512024.82
2023-09-07,49495267.73
2023-09-08,49431525.11
2023-09-09,49383966.08
2023-09-10,49298037.38
2023-09-11,49316219.32
2023-09-12,49279368.2
2023-09-13,49339576.6
2023-09-14,49551231.01
2023-09-15,49760172.43
2023-09-16,49821032.88
2023-09-17,49836702.53
2023-09-18,68862511.59
2023-09-19,69103749.51
2023-09-20,69163077.87
2023-09-21,69108372.49
2023-09-22,69032037.03
2023-09-23,68981595.28
2023-09-24,69021596.49
2023-09-25,69030360.39
2023-09-26,69005868.88
2023-09-27,69547516.09
2023-09-28,69443623.86
2023-09-29,69472769.34
2023-09-30,69522301.94
2023-10-01,69497087.97
2023-10-02,69446903.39
2023-10-03,69442908.16
2023-10-04,69485403.35
2023-10-05,69399436.81
2023-10-06,69348058.67
2023-10-07,69328602.99
2023-10-08,69316281.65
2023-10-09,70165773.95
2023-10-10,70125581.41
2023-10-11,70361321.03
2023-10-12,70278001.07
2023-10-13,70506312.97
2023-10-14,70442539.9
2023-10-15,70365396.45
2023-10-16,70422268.92
2023-10-17,70367600.48
2023-10-18,70461754.83
2023-10-19,70467516.83
2023-10-20,70643484.13
2023-10-21,70552905.46
2023-10-22,70571743.85
2023-10-23,70410628.42
2023-10-24,70355494.42
2023-10-25,70326202.72
2023-10-26,70364242.02
2023-10-27,80611553.41
2023-10-28,80602286.22
2023-10-29,80620145.37
2023-10-30,80595581.36
2023-10-31,80640893.17
2023-11-01,80211276.8
2023-11-02,80276095.14
2023-11-03,80284076.76
2023-11-04,80271991.03
2023-11-05,80173556.79
2023-11-06,80199957.2
2023-11-07,80172933.48
2023-11-08,80197088.64
2023-11-09,80788630.37
2023-11-10,80583250.56
2023-11-11,80601870.68
2023-11-12,80743813.33
2023-11-13,80552719.14
2023-11-14,80013734.32
2023-11-15,79984044.1
2023-11-16,79738043.34
2023-11-17,82152451.71
2023-11-18,81903232.84
2023-11-19,81855965.05
2023-11-20,81603016.45
2023-11-21,81513468.74
2023-11-22,81662879.02
2023-11-23,81802455.51
2023-11-24,81798513.71
2023-11-25,82265543.75
2023-11-26,82239889.19
2023-11-27,82252049.56
2023-11-28,82295697.84
2023-11-29,82025111.85
2023-11-30,82125172.13
2023-12-01,83479896.3
2023-12-02,83566803.02
2023-12-03,82899327.5
2023-12-04,82765569.72
2023-12-05,82498452.48
2023-12-06,82944352.75
2023-12-07,82127363.78
2023-12-08,82158482.04
2023-12-09,82051659.44
2023-12-10,82000609.04
2023-12-11,81792099.12
2023-12-12,81534903.35
2023-12-13,81700583.44
2023-12-14,81731496.13
2023-12-15,81707088.7
2023-12-16,81642104.65
2023-12-17,81603284.22
2023-12-18,81058572.53
2023-12-19,80957551.86
2023-12-20,80819116.73
2023-12-21,80727780.38
2023-12-22,76850174.41
2023-12-23,76503915.0
2023-12-24,76171580.22
2023-12-25,76105787.19
2023-12-26,76063269.96
2023-12-27,75251500.63
2023-12-28,75047182.04
2023-12-29,74973578.22
2023-12-30,74927314.27
2023-12-31,74905236.67
2024-01-01,74779230.47
2024-01-02,74244867.78
2024-01-03,73764045.53
2024-01-04,73792060.55
2024-01-05,73800200.2
2024-01-06,73760674.07
2024-01-07,73837490.38
2024-01-08,73918490.82
2024-01-09,73805710.74
2024-01-10,73861336.12
2024-01-11,73690653.49
2024-01-12,73449269.83
2024-01-13,73344587.06
2024-01-14,73244324.19
2024-01-15,72737503.78
2024-01-16,72712126.07
2024-01-17,72639280.18
2024-01-18,89035209.01
2024-01-19,88970519.92
2024-01-20,88872382.18
2024-01-21,88793799.87
2024-01-22,88756442.89
2024-01-23,88749073.24
2024-01-24,88788223.61
2024-01-25,88757109.48
2024-01-26,88995782.29
2024-01-27,88979751.1
2024-01-28,88708693.37
2024-01-29,88791756.55
2024-01-30,88719196.5
2024-01-31,88773757.29
2024-02-01,88664662.48
2024-02-02,88595816.08
2024-02-03,88627420.62
2024-02-04,88564328.69
2024-02-05,88626085.64
2024-02-06,88641251.53
2024-02-07,88530066.11
2024-02-08,88507007.1
2024-02-09,88460474.63
2024-02-10,88391656.46
2024-02-11,88478776.53
2024-02-12,89485371.94
2024-02-13,89637317.03
2024-02-14,89613901.32
2024-02-15,89506695.93
2024-02-16,89478749.54
2024-02-17,89455271.52
2024-02-18,89387473.61
2024-02-19,89332598.52
2024-02-20,90123095.23
2024-02-21,90025883.22
2024-02-22,89863137.64
2024-02-23,89749622.84
2024-02-24,89826439.94
2024-02-25,89683970.94
2024-02-26,89560158.46
2024-02-27,89586226.95
2024-02-28,89509028.29
2024-02-29,89388312.6
2024-03-01,89483009.37
2024-03-02,89408463.04
2024-03-03,89310945.83
2024-03-04,89361017.99
2024-03-05,88928229.75
2024-03-06,88897377.05
2024-03-07,88895436.65
2024-03-08,88830276.06
2024-03-09,88512924.77
2024-03-10,88407597.3
2024-03-11,88296552.52
2024-03-12,88219431.85
2024-03-13,88112918.98
2024-03-14,87943411.54
2024-03-15,88118244.96
2024-03-16,87972794.4
2024-03-17,87971519.81
2024-03-18,87831849.04
2024-03-19,87734647.89
2024-03-20,87788859.65
2024-03-21,87800313.33
2024-03-22,87831227.39
2024-03-23,87936657.08
2024-03-24,87882593.71
2024-03-25,87931745.46
2024-03-26,88559371.16
2024-03-27,88546971.22
2024-03-28,88620240.73
2024-03-29,88533266.3
2024-03-30,88441500.7
2024-03-31,88492284.67
2024-04-01,87858703.55
2024-04-02,87853392.02
2024-04-03,87764313.74
2024-04-04,87633583.12
2024-04-05,87520023.89
2024-04-06,87566237.1
2024-04-07,87528083.95
2024-04-08,87529307.28
2024-04-09,87424661.84
2024-04-10,87453176.85
2024-04-11,87439930.45
2024-04-12,87362808.55
2024-04-13,87380343.63
2024-04-14,87382509.44
2024-04-15,87433944.86
2024-04-16,87473043.36
2024-04-17,87308271.1
2024-04-18,88034154.58
2024-04-19,88054305.71
2024-04-20,88209367.8
2024-04-21,88130297.71
2024-04-22,88071049.91
2024-04-23,88207736.99
2024-04-24,88182057.69
2024-04-25,88158125.71
2024-04-26,88133480.21
2024-04-27,88194089.48
2024-04-28,88295316.35
2024-04-29,87995713.72
2024-04-30,89849027.64
2024-05-01,89888205.58
2024-05-02,89953943.41
2024-05-03,89934444.98
2024-05-04,89945118.96
2024-05-05,89845344.33
2024-05-06,90084718.9
2024-05-07,90179819.12
2024-05-08,90061355.04
2024-05-09,90049386.85
2024-05-10,89690563.55
2024-05-11,89574704.01
2024-05-12,89528147.97
2024-05-13,89525380.25
2024-05-14,89510478.93
2024-05-15,89685404.96
2024-05-16,89710708.21
2024-05-17,90081005.12
2024-05-18,90167531.58
2024-05-19,90151378.06
2024-05-20,90115137.82
2024-05-21,90260120.84
2024-05-22,92102246.58
2024-05-23,92127087.04
2024-05-24,92162616.87
2024-05-25,92208691.7
2024-05-26,92203522.21
2024-05-27,92292869.57
2024-05-28,91509627.27
2024-05-29,91487195.13
2024-05-30,91506397.84
2024-05-31,91617738.87
2024-06-01,91601800.05
2024-06-02,91523651.09
2024-06-03,91550933.4
2024-06-04,91537560.0
2024-06-05,91492905.57
2024-06-06,91623086.54
2024-06-07,92014800.08
2024-06-08,92057988.14
2024-06-09,92077123.42
2024-06-10,92034538.0
2024-06-11,92137133.32
2024-06-12,91992642.8
2024-06-13,91978806.23
2024-06-14,91920314.72
2024-06-15,91843238.31
2024-06-16,91807293.58
2024-06-17,91892473.37
2024-06-18,91702472.8
2024-06-19,91838845.84
2024-06-20,91820085.9
2024-06-21,91833776.37
2024-06-22,91695638.82
2024-06-23,91738252.23
2024-06-24,89867679.15
2024-06-25,89550269.67
2024-06-26,89527073.33
2024-06-27,89473482.64
2024-06-28,89470105.78
2024-06-29,89434109.06
2024-06-30,89541378.2
2024-07-01,89447407.48
2024-07-02,89361238.49
2024-07-03,89475138.26
2024-07-04,89321546.33
2024-07-05,89145120.45
2024-07-06,89045778.22
2024-07-07,89046442.19
2024-07-08,89013252.87
2024-07-09,89124658.75
2024-07-10,89099698.83
2024-07-11,89076414.1
2024-07-12,92518029.94
2024-07-13,92943666.36
2024-07-14,92859199.63
2024-07-15,92797880.88
2024-07-16,92946179.66
2024-07-17,93026950.39
2024-07-18,93064894.96
2024-07-19,93015735.11
2024-07-20,92955663.19
2024-07-21,92890190.72
2024-07-22,93188485.58
2024-07-23,93171699.85
2024-07-24,93043967.81
2024-07-25,93120682.16
2024-07-26,93165679.13
2024-07-27,93148779.86
2024-07-28,93148485.0
2024-07-29,93228619.02
2024-07-30,93425277.44
2024-07-31,93571168.02
2024-08-01,93684696.02
2024-08-02,93417993.02
2024-08-03,93410284.57
2024-08-04,93350279.19
2024-08-05,93392725.92
2024-08-06,93466317.97
2024-08-07,93544392.86
2024-08-08,93565620.84
2024-08-09,93756790.99
2024-08-10,93760926.39
2024-08-11,93802967.7
2024-08-12,93763961.93
2024-08-13,93727089.06
2024-08-14,93598316.3
2024-08-15,93635648.56
2024-08-16,93595450.05
2024-08-17,93616514.74
2024-08-18,93602799.51
2024-08-19,94643446.01
2024-08-20,94636174.6
2024-08-21,94632018.16
2024-08-22,92140996.58
2024-08-23,92116210.8
2024-08-24,92133892.01
2024-08-25,92119526.8
2024-08-26,92172616.36
2024-08-27,92133476.06
2024-08-28,92170397.75
2024-08-29,92307798.24
2024-08-30,96919994.58
2024-08-31,97025412.98
2024-09-01,97001934.77
2024-09-02,96783939.89
2024-09-03,96746344.69
2024-09-04,96740198.88
2024-09-05,96580575.96
2024-09-06,96505738.28
2024-09-07,96509530.57
2024-09-08,96506010.03
2024-09-09,96449746.37
2024-09-10,96433178.68
2024-09-11,96402362.36
2024-09-12,96551514.37
2024-09-13,96538989.26
2024-09-14,96491954.82
2024-09-15,96486596.71
2024-09-16,96501088.42
2024-09-17,96511773.15
2024-09-18,96431221.88
2024-09-19,96513438.94
2024-09-20,96481496.78
2024-09-21,96486039.19
2024-09-22,96489241.06
2024-09-23,96600230.7
2024-09-24,96571923.69
2024-09-25,96553128.98
2024-09-26,96571826.14
2024-09-27,96485931.78
2024-09-28,96473587.16
2024-09-29,96423332.19
2024-09-30,96085507.81
2024-10-01,96078504.58
2024-10-02,96022857.39
2024-10-03,95990050.24
2024-10-04,96014791.16
2024-10-05,95738246.34
2024-10-06,95716910.94
2024-10-07,95770622.34
2024-10-08,95682096.58
2024-10-09,99118293.62
2024-10-10,100267291.4
2024-10-11,99681618.43
2024-10-12,100498371.7
2024-10-13,100379230.6
2024-10-14,100416737.0
2024-10-15,100286017.3
2024-10-16,100215734.4
2024-10-17,100123192.5
2024-10-18,100045105.5
2024-10-19,100014220.1
2024-10-20,99910455.15
2024-10-21,99597610.78
2024-10-22,103099325.5
2024-10-23,104038775.9
2024-10-24,104069060.1
2024-10-25,104015724.2
2024-10-26,104125044.0
2024-10-27,104192399.7
2024-10-28,104209804.2
2024-10-29,103977222.3
2024-10-30,104020752.0
2024-10-31,104355322.8
2024-11-01,104495267.2
2024-11-02,104336123.9
2024-11-03,104532690.5
2024-11-04,104349368.0
2024-11-05,105595617.9
2024-11-06,105627446.7
2024-11-07,105666767.9
2024-11-08,106307039.9
2024-11-09,106311596.8
2024-11-10,106194359.2
2024-11-11,105929217.4
2024-11-12,105961244.9
2024-11-13,105971139.5
2024-11-14,106015541.5
2024-11-15,105907309.6
2024-11-16,105267288.5
2024-11-17,105243116.7
2024-11-18,105202049.0
2024-11-19,105156734.4
2024-11-20,105123083.3
2024-11-21,104486181.4
2024-11-22,104598570.3
2024-11-23,104491399.5
2024-11-24,104610277.8
2024-11-25,104476420.7
2024-11-26,104333549.2
2024-11-27,104240738.0
2024-11-28,103760796.7
2024-11-29,103690143.2
2024-11-30,104105543.4
