Date,Votable Supply,Circulating Supply
2024-02-04,88564328.69,957378568.0
2024-02-05,88626085.64,957378568.0
2024-02-06,88641251.53,957378568.0
2024-02-07,88530066.11,957378568.0
2024-02-08,88507007.1,957378568.0
2024-02-09,88460474.63,957378568.0
2024-02-10,88391656.46,957378568.0
2024-02-11,88478776.53,957378568.0
2024-02-12,89485371.94,957378568.0
2024-02-13,89637317.03,957378568.0
2024-02-14,89613901.32,957378568.0
2024-02-15,89506695.93,957378568.0
2024-02-16,89478749.54,957378568.0
2024-02-17,89455271.52,957378568.0
2024-02-18,89387473.61,957378568.0
2024-02-19,89332598.52,957378568.0
2024-02-20,90123095.23,957378568.0
2024-02-21,90025883.22,957378568.0
2024-02-22,89863137.64,957378568.0
2024-02-23,89749622.84,957378568.0
2024-02-24,89826439.94,957378568.0
2024-02-25,89683970.94,957378568.0
2024-02-26,89560158.46,957378568.0
2024-02-27,89586226.95,957378568.0
2024-02-28,89509028.29,957378568.0
2024-02-29,89388312.6,957378568.0
2024-03-01,89483009.37,1006141600.0
2024-03-02,89408463.04,1006141600.0
2024-03-03,89310945.83,1006141600.0
2024-03-04,89361017.99,1006141600.0
2024-03-05,88928229.75,1006141600.0
2024-03-06,88897377.05,1006141600.0
2024-03-07,88895436.65,1006141600.0
2024-03-08,88830276.06,1006141600.0
2024-03-09,88512924.77,1006141600.0
2024-03-10,88407597.3,1006141600.0
2024-03-11,88296552.52,1006141600.0
2024-03-12,88219431.85,1006141600.0
2024-03-13,88112918.98,1006141600.0
2024-03-14,87943411.54,1006141600.0
2024-03-15,88118244.96,1006141600.0
2024-03-16,87972794.4,1006141600.0
2024-03-17,87971519.81,1006141600.0
2024-03-18,87831849.04,1006141600.0
2024-03-19,87734647.89,1006141600.0
2024-03-20,87788859.65,1006141600.0
2024-03-21,87800313.33,1006141600.0
2024-03-22,87831227.39,1006141600.0
2024-03-23,87936657.08,1006141600.0
2024-03-24,87882593.71,1006141600.0
2024-03-25,87931745.46,1006141600.0
2024-03-26,88559371.16,1006141600.0
2024-03-27,88546971.22,1006141600.0
2024-03-28,88620240.73,1006141600.0
2024-03-29,88533266.3,1006141600.0
2024-03-30,88441500.7,1006141600.0
2024-03-31,88492284.67,1006141600.0
2024-04-01,87858703.55,1006141600.0
2024-04-02,87853392.02,1006141600.0
2024-04-03,87764313.74,1006141600.0
2024-04-04,87633583.12,1006141600.0
2024-04-05,87520023.89,1006141600.0
2024-04-06,87566237.1,1006141600.0
2024-04-07,87528083.95,1006141600.0
2024-04-08,87529307.28,1006141600.0
2024-04-09,87424661.84,1006141600.0
2024-04-10,87453176.85,1006141600.0
2024-04-11,87439930.45,1006141600.0
2024-04-12,87362808.55,1006141600.0
2024-04-13,87380343.63,1006141600.0
2024-04-14,87382509.44,1006141600.0
2024-04-15,87433944.86,1006141600.0
2024-04-16,87473043.36,1045379867.0
2024-04-17,87308271.1,1045379867.0
2024-04-18,88034154.58,1045379867.0
2024-04-19,88054305.71,1045379867.0
2024-04-20,88209367.8,1045379867.0
2024-04-21,88130297.71,1045379867.0
2024-04-22,88071049.91,1045379867.0
2024-04-23,88207736.99,1045379867.0
2024-04-24,88182057.69,1045379867.0
2024-04-25,88158125.71,1045379867.0
2024-04-26,88133480.21,1045379867.0
2024-04-27,88194089.48,1045379867.0
2024-04-28,88295316.35,1045379867.0
2024-04-29,87995713.72,1045379867.0
2024-04-30,89849027.64,1045379867.0
2024-05-01,89888205.58,1045379867.0
2024-05-02,89953943.41,1045379867.0
2024-05-03,89934444.98,1045379867.0
2024-05-04,89945118.96,1045379867.0
2024-05-05,89845344.33,1045379867.0
2024-05-06,90084718.9,1045379867.0
2024-05-07,90179819.12,1045379867.0
2024-05-08,90061355.04,1045379867.0
2024-05-09,90049386.85,1045379867.0
2024-05-10,89690563.55,1045379867.0
2024-05-11,89574704.01,1045379867.0
2024-05-12,89528147.97,1045379867.0
