Date,OP_Price
2023-08-28,1.453584524
2023-08-29,1.422536706
2023-08-30,1.49132082
2023-08-31,1.483483875
2023-09-01,1.39105408
2023-09-02,1.317615956
2023-09-03,1.318020788
2023-09-04,1.339370145
2023-09-05,1.341239379
2023-09-06,1.345221008
2023-09-07,1.330422825
2023-09-08,1.33798207
2023-09-09,1.298658436
2023-09-10,1.29366654
2023-09-11,1.269359774
2023-09-12,1.275759409
2023-09-13,1.338182376
2023-09-14,1.352725202
2023-09-15,1.358067592
2023-09-16,1.406407216
2023-09-17,1.393033248
2023-09-18,1.373199649
2023-09-19,1.368580485
2023-09-20,1.380530291
2023-09-21,1.390713462
2023-09-22,1.297017645
2023-09-23,1.292835207
2023-09-24,1.298321201
2023-09-25,1.263378651
2023-09-26,1.249585343
2023-09-27,1.287156966
2023-09-28,1.269241791
2023-09-29,1.322698885
2023-09-30,1.335395612
2023-10-01,1.344975581
2023-10-02,1.412645074
2023-10-03,1.39614536
2023-10-04,1.321438024
2023-10-05,1.330780972
2023-10-06,1.301523061
2023-10-07,1.305780074
2023-10-08,1.290216554
2023-10-09,1.280770292
2023-10-10,1.228871089
2023-10-11,1.244269641
2023-10-12,1.243520636
2023-10-13,1.1901143
2023-10-14,1.207335021
2023-10-15,1.199447396
2023-10-16,1.208397513
2023-10-17,1.235923956
2023-10-18,1.196100687
2023-10-19,1.186827302
2023-10-20,1.171739479
2023-10-21,1.233611948
2023-10-22,1.268180981
2023-10-23,1.31175278
2023-10-24,1.353171606
2023-10-25,1.391434077
2023-10-26,1.379208049
2023-10-27,1.409833313
2023-10-28,1.367490304
2023-10-29,1.371794177
2023-10-30,1.411137953
2023-10-31,1.420472245
2023-11-01,1.392202294
2023-11-02,1.435583172
2023-11-03,1.371938018
2023-11-04,1.420992222
2023-11-05,1.498389069
2023-11-06,1.545221617
2023-11-07,1.568588475
2023-11-08,1.512468749
2023-11-09,1.531896881
2023-11-10,1.742267065
2023-11-11,1.722431698
2023-11-12,1.690341151
2023-11-13,1.816154316
2023-11-14,1.802322277
2023-11-15,1.796381619
2023-11-16,1.858621711
2023-11-17,1.800476423
2023-11-18,1.701969382
